fecha;temp;lluvia;radmax;presmb
18/05/2026 03:00 p.m.;36,16;0,00;0,80;997,78
18/05/2026 02:00 p.m.;36,38;0,00;1,05;998,35
18/05/2026 01:00 p.m.;36,00;0,00;1,15;999,32
18/05/2026 12:00 p.m.;35,08;0,00;1,15;1.000,04
18/05/2026 11:00 a.m.;35,04;0,00;1,12;1.000,66
18/05/2026 10:00 a.m.;33,91;0,00;0,92;1.000,94
18/05/2026 09:00 a.m.;32,29;0,00;0,75;1.000,73
18/05/2026 08:00 a.m.;30,48;0,00;0,46;1.000,41
18/05/2026 07:00 a.m.;28,54;0,00;0,33;999,90
18/05/2026 06:00 a.m.;26,93;0,00;0,09;999,24
18/05/2026 05:00 a.m.;26,94;0,00;0,00;998,92
18/05/2026 04:00 a.m.;28,06;0,00;0,00;998,94
18/05/2026 03:00 a.m.;29,07;0,00;0,00;999,56
18/05/2026 02:00 a.m.;29,23;0,00;0,00;1.000,02
18/05/2026 01:00 a.m.;29,14;0,00;0,00;1.000,71
18/05/2026 12:00 a.m.;29,08;0,00;0,00;1.001,24
17/05/2026 11:00 p.m.;29,37;0,00;0,00;1.001,46
17/05/2026 10:00 p.m.;29,52;0,00;0,00;1.001,24
17/05/2026 09:00 p.m.;29,78;0,00;0,00;1.000,93
17/05/2026 08:00 p.m.;30,31;0,00;0,00;1.000,54
17/05/2026 07:00 p.m.;30,77;0,00;0,00;999,85
17/05/2026 06:00 p.m.;31,96;0,00;0,09;998,91
17/05/2026 05:00 p.m.;33,01;0,00;0,17;998,32
17/05/2026 04:00 p.m.;34,15;0,00;0,59;998,17
17/05/2026 03:00 p.m.;35,45;0,00;0,90;998,40
